case_id,case_number,is_911_call,problem,primary_offense,date,latitude,longitude,city_id,precinct_id,neighborhood_id,police_force_id,year,month,day,hour
58,08-092940,No,Suspicious Person ,DAS,20080403,44.999687,-93.28952199999999,0,2,9,57,2008,04,03,18
59,08-095936,No,Suspicious Person ,FOBEY,20080406,44.981654999999996,-93.271963,0,1,1,58,2008,04,06,1
60,08-099010,No,Officer Needs Help ,FLEE,20080409,44.988613,-93.317204,0,2,31,59,2008,04,09,0
61,08-005035,No,Traffic Law Enforcement ,FLEE,20080105,44.999153,-93.293351,0,2,2,60,2008,01,05,17
62,08-017957,Yes,Domestic Abuse-In Progress ,OBSTRU,20080118,45.032532,-93.247231,0,3,26,61,2008,01,18,20
63,08-019237,Yes,Unwanted Person ,OBSTRU,20080120,44.974295,-93.26611199999999,0,1,1,62,2008,01,20,3
64,08-045535,No,Traffic Law Enforcement ,NARC,20080216,45.013232,-93.306344,0,2,12,63,2008,02,16,21
65,08-049091,No,Traffic Law Enforcement ,FLEE,20080220,45.016752000000004,-93.296221,0,2,17,64,2008,02,20,22
66,08-051459,No,On Site ,DAMMV,20080223,44.980833000000004,-93.27195999999999,0,1,1,65,2008,02,23,2
67,08-052065,Yes,Domestic ,OBSTRU,20080223,44.903566,-93.21844399999999,0,4,32,66,2008,02,23,19
68,08-086018,No,ShotSpotter Activation ,SQUADA,20080328,44.999452000000005,-93.30129000000001,0,2,31,67,2008,03,28,5
69,08-108562,Yes,Domestic Abuse-In Progress ,POVIOL,20080417,45.007759,-93.296205,0,2,12,68,2008,04,17,20
70,08-123334,No,Sound of Shots Fired ,FLEEFT,20080501,44.984192,-93.298194,0,2,29,69,2008,05,01,1
71,08-129112,Yes,Customer Trouble ,FLEEFT,20080506,44.948812,-93.297004,0,5,33,70,2008,05,06,0
72,08-133859,Yes,Disturbance ,ROBPER,20080510,44.980065,-93.271883,0,1,1,71,2008,05,10,2
73,08-017203,Yes,Suspicious Vehicle ,RECVEH,20080118,44.945482,-93.274109,0,4,8,72,2008,01,18,0
74,08-034161,Yes,Person with a Gun ,FORCE,20080204,45.010125,-93.288002,0,2,9,73,2008,02,04,17
75,08-043573,Yes,Unwanted Person ,DAMPRP,20080214,45.043001000000004,-93.28886,0,2,24,74,2008,02,14,22
76,08-051094,No,Suspicious Person ,RECVEH,20080222,45.005356,-93.284931,0,2,9,75,2008,02,22,21
77,08-070162,No,Traffic Law Enforcement ,FLEEFT,20080312,44.934156,-93.265644,0,4,34,76,2008,03,12,18
78,08-073777,No,Burglary Dwlng In Progress ,FORCE,20080316,44.933209999999995,-93.247341,0,4,35,77,2008,03,16,0
79,08-074010,Yes,Fight ,DISCON,20080316,44.973112,-93.277369,0,1,1,78,2008,03,16,3
80,08-081465,No,Traffic Law Enforcement ,NARC,20080323,44.999111,-93.281842,0,2,9,79,2008,03,23,17
81,08-094796,Yes,Fight ,CSCR,20080405,44.988139000000004,-93.250114,0,3,36,80,2008,04,05,2
82,08-133859,Yes,Disturbance ,ROBPER,20080510,44.980065,-93.271883,0,1,1,81,2008,05,10,2
83,08-146532,No,Suspicious Person ,WT,20080520,45.00939,-93.24736700000001,0,3,37,82,2008,05,20,23
84,08-168896,No,Assault in Progress ,ASLT3,20080608,44.980065,-93.271883,0,1,1,83,2008,06,08,2
85,08-000149,No,Code 3 ,MISC,20080101,44.980808,-93.27314100000001,0,1,1,84,2008,01,01,1
86,08-016285,Yes,Assault in Progress ,POVIOL,20080116,44.959123999999996,-93.288659,0,5,33,85,2008,01,16,23
87,08-019237,Yes,Unwanted Person ,OBSTRU,20080120,44.974295,-93.26611199999999,0,1,1,86,2008,01,20,3
88,08-038956,Yes,Neighbor Trouble ,OBSTRU,20080209,45.013028999999996,-93.290726,0,2,9,87,2008,02,09,3
89,08-045814,No,Traffic Law Enforcement ,FLEE,20080217,44.999886,-93.298885,0,2,12,88,2008,02,17,1
90,08-050899,No,Traffic Law Enforcement ,NARC,20080222,44.932344,-93.260605,0,4,35,89,2008,02,22,18
91,08-053384,No,Fight ,ASLT4,20080225,44.979626,-93.272499,0,1,1,90,2008,02,25,2
92,08-060442,No,Disturbance ,DISCON,20080303,44.979626,-93.272499,0,1,1,91,2008,03,03,1
93,08-068045,Yes,Sound of Shots Fired ,DISWEA,20080310,45.02315,-93.304505,0,2,17,92,2008,03,10,18
94,08-082364,Yes,Domestic Abuse-In Progress ,OBSTRU,20080324,45.01324,-93.311428,0,2,38,93,2008,03,24,17
95,08-118386,Yes,Person with a Weapon ,OBSTRU,20080426,44.943175,-93.263245,0,4,8,94,2008,04,26,17
96,08-125770,No,Suspicious Vehicle ,NARC,20080503,44.948369,-93.239479,0,4,13,95,2008,05,03,2
97,08-019237,Yes,Unwanted Person ,OBSTRU,20080120,44.974295,-93.26611199999999,0,1,1,96,2008,01,20,3
98,08-028467,No,Suspicious Vehicle ,FLEE,20080129,44.996367,-93.279935,0,2,2,97,2008,01,29,21
99,08-030812,No,Attempt Pick-Up ,WT,20080201,45.003397,-93.303748,0,2,12,98,2008,02,01,10
100,08-039928,No,Traffic Law Enforcement ,FLEE,20080210,44.978019,-93.277025,0,1,1,99,2008,02,10,4
101,08-054886,No,Miscellaneous ,AOA,20080226,44.956435,-93.258781,0,4,4,100,2008,02,26,16
102,08-082590,Yes,Drunk/Intoxicated Person ,LOITER,20080324,44.965747,-93.27403100000001,0,5,39,101,2008,03,24,21
103,08-093925,Yes,Domestic ,DASLT5,20080404,44.964946999999995,-93.253961,0,4,5,102,2008,04,04,13
104,08-099010,No,Officer Needs Help ,FLEE,20080409,44.988613,-93.317204,0,2,31,103,2008,04,09,0
105,08-106745,No,Attempt Pick-Up ,WT,20080416,44.970044,-93.217792,0,3,23,104,2008,04,16,10
106,08-005035,No,Traffic Law Enforcement ,FLEE,20080105,44.999153,-93.293351,0,2,2,105,2008,01,05,17
107,08-019283,Yes,Domestic Abuse-In Progress ,OBSTRU,20080120,45.005359000000006,-93.283381,0,2,9,106,2008,01,20,5
108,08-031888,Yes,Burglary Biz - In Progress ,BURGB,20080202,44.975836,-93.271289,0,1,1,107,2008,02,02,6
109,08-038937,No,Chase on Foot ,OBSTRU,20080209,45.021359000000004,-93.307014,0,2,17,108,2008,02,09,3
110,08-043457,Yes,Assault in Progress ,OBSTRU,20080214,44.952851,-93.24865,0,4,13,109,2008,02,14,19
111,08-051094,No,Suspicious Person ,RECVEH,20080222,45.005356,-93.284931,0,2,9,110,2008,02,22,21
112,08-054024,Yes,Unknown Trouble ,DASTR,20080225,44.993608,-93.299432,0,2,2,111,2008,02,25,19
113,08-071994,Yes,Fight ,OBSTRU,20080314,44.963381,-93.242506,0,4,7,112,2008,03,14,12
114,08-072737,No,Disturbance ,DISCON,20080315,44.979626,-93.272499,0,1,1,113,2008,03,15,0
115,08-075154,No,Suspicious Vehicle ,NARC,20080317,44.9609,-93.267033,0,4,40,114,2008,03,17,15
116,08-081163,No,Suspicious Vehicle ,FLEE,20080323,45.00257,-93.31076800000001,0,2,31,115,2008,03,23,4
117,08-092243,Yes,Prowler ,OBSTRU,20080403,44.992403,-93.266452,0,3,14,116,2008,04,03,1
118,08-012559,Yes,Domestic Abuse-In Progress ,OBSTRU,20080112,44.986990000000006,-93.307013,0,2,2,117,2008,01,12,23
119,08-019283,Yes,Domestic Abuse-In Progress ,OBSTRU,20080120,45.005359000000006,-93.283381,0,2,9,118,2008,01,20,5
120,08-024524,Yes,Unknown Trouble ,DASTR,20080125,44.963217,-93.28336999999999,0,5,39,119,2008,01,25,23
121,08-024687,Yes,Domestic Abuse-In Progress ,DISCON,20080126,44.948361,-93.293832,0,5,11,120,2008,01,26,2
122,08-030417,No,Suspicious Vehicle ,LOITER,20080131,0.0,0.0,0,6,15,121,2008,01,31,22
123,08-031879,Yes,Domestic Abuse-In Progress ,OBSTRU,20080202,45.009901,-93.244693,0,3,41,122,2008,02,02,5
124,08-034161,Yes,Person with a Gun ,FORCE,20080204,45.010125,-93.288002,0,2,9,123,2008,02,04,17
125,08-043573,Yes,Unwanted Person ,DAMPRP,20080214,45.043001000000004,-93.28886,0,2,24,124,2008,02,14,22
126,08-045535,No,Traffic Law Enforcement ,NARC,20080216,45.013232,-93.306344,0,2,12,125,2008,02,16,21
127,08-052540,No,Fight ,OBSTRU,20080224,44.981654999999996,-93.271963,0,1,1,126,2008,02,24,2
128,08-060326,Yes,Fight ,THFTSW,20080302,44.980065,-93.271883,0,1,1,127,2008,03,02,22
129,08-063441,Yes,Domestic Abuse-In Progress ,DASLT5,20080306,45.005399,-93.298045,0,2,12,128,2008,03,06,1
130,08-010291,No,Motor Vehicle Chase ,FLEE,20080110,44.943185,-93.265782,0,4,8,129,2008,01,10,22
131,08-017957,Yes,Domestic Abuse-In Progress ,OBSTRU,20080118,45.032532,-93.247231,0,3,26,130,2008,01,18,20
132,08-018973,No,Suspicious Vehicle ,RECVEH,20080119,45.010118,-93.286438,0,2,9,131,2008,01,19,22
133,08-041572,No,Disturbance ,DISCON,20080212,44.981232,-93.268587,0,1,1,132,2008,02,12,10
134,08-050138,Yes,Domestic Abuse-In Progress ,DASLT5,20080221,45.015051,-93.31270400000001,0,2,38,133,2008,02,21,22
135,08-051509,No,Suspicious Person ,DISCON,20080223,44.981648,-93.273116,0,1,1,134,2008,02,23,2
136,08-059535,No,Disturbance ,DISCON,20080302,44.979626,-93.272499,0,1,1,135,2008,03,02,0
137,08-068128,Yes,Domestic ,OBSTRU,20080310,45.004803,-93.28415799999999,0,2,9,136,2008,03,10,19
138,08-075526,Yes,Unknown Trouble ,DISCON,20080317,44.958236,-93.252392,0,4,4,137,2008,03,17,22
139,08-085693,Yes,Sound of Shots Fired ,NARC,20080327,44.996862,-93.291053,0,2,2,138,2008,03,27,21
140,08-103121,No,Burglary Dwlng In Progress ,BURGD,20080413,45.043941,-93.31114000000001,0,2,19,139,2008,04,13,0
141,08-110922,Yes,Fight ,DISCON,20080419,44.970506,-93.277714,0,1,18,140,2008,04,19,23
142,08-001059,No,Traffic Law Enforcement ,FLEE,20080101,45.010125,-93.288002,0,2,9,141,2008,01,01,21
143,08-004457,No,Suspicious Person ,DISCON,20080105,44.979186999999996,-93.27310899999999,0,1,1,142,2008,01,05,0
144,08-007748,No,Disturbance ,DISCON,20080108,44.980557,-93.299256,0,2,29,143,2008,01,08,14
145,08-026567,No,Assist an Officer ,OBSTRU,20080128,44.940441,-93.277916,0,5,16,144,2008,01,28,0
146,08-031458,Yes,Crim Sex Conduct/Report ,CSCR,20080201,44.953025,-93.299503,0,5,42,145,2008,02,01,22
147,08-038438,Yes,Narcotics ,OBSTRU,20080208,44.939532,-93.245456,0,4,10,146,2008,02,08,20
148,08-039928,No,Traffic Law Enforcement ,FLEE,20080210,44.978019,-93.277025,0,1,1,147,2008,02,10,4
149,08-045651,No,Suspicious Person ,DISCON,20080216,44.948812,-93.297004,0,5,33,148,2008,02,16,23
150,08-051509,No,Suspicious Person ,DISCON,20080223,44.981648,-93.273116,0,1,1,149,2008,02,23,2
151,08-061675,Yes,Disturbance ,POSDPA,20080304,44.987056,-93.25524200000001,0,3,43,150,2008,03,04,10
152,08-077183,No,Suspicious Person ,NARC,20080319,44.966722999999995,-93.262552,0,1,44,151,2008,03,19,14
153,08-081051,No,Fight ,OBSTRU,20080323,44.980009,-93.236171,0,3,36,152,2008,03,23,1
154,08-000895,Yes,Person with a Weapon ,ASLT5,20080101,44.954638,-93.279645,0,5,45,153,2008,01,01,17
155,08-006776,Yes,Trespass in Boarded Dwell ,NARC,20080107,44.962688,-93.269582,0,4,5,154,2008,01,07,14
156,08-010291,No,Motor Vehicle Chase ,FLEE,20080110,44.943185,-93.265782,0,4,8,155,2008,01,10,22
157,08-026636,No,Traffic Law Enforcement ,DWIREF,20080128,45.014978,-93.257329,0,3,37,156,2008,01,28,2
158,08-052065,Yes,Domestic ,OBSTRU,20080223,44.903566,-93.21844399999999,0,4,32,157,2008,02,23,19
159,08-061925,No,Chase on Foot ,FLEE,20080304,44.963324,-93.265106,0,4,5,158,2008,03,04,15
160,08-071030,No,Assist an Officer ,ASLT4,20080313,44.951081,-93.234724,0,4,46,159,2008,03,13,15
161,08-087094,Yes,Stabbing ,DASLT2,20080329,45.008632,-93.291785,0,2,9,160,2008,03,29,1
162,08-087695,Yes,Disturbance ,DISCON,20080329,44.967175,-93.247259,0,1,6,161,2008,03,29,17
163,08-089952,Yes,Unwanted Person ,DISCON,20080401,44.979186999999996,-93.27310899999999,0,1,1,162,2008,04,01,0
164,08-094658,No,On Site ,OBSTRU,20080405,44.982469,-93.27195400000001,0,1,1,163,2008,04,05,0
165,08-099010,No,Officer Needs Help ,FLEE,20080409,44.988613,-93.317204,0,2,31,164,2008,04,09,0
166,08-000144,No,Suspicious Person ,OBSTRU,20080101,44.959744,-93.24701999999999,0,4,13,165,2008,01,01,1
167,08-006776,Yes,Trespass in Boarded Dwell ,NARC,20080107,44.962688,-93.269582,0,4,5,166,2008,01,07,14
168,08-019047,No,On Site ,NOSMOK,20080119,44.979186999999996,-93.27310899999999,0,1,1,167,2008,01,19,23
169,08-031756,Yes,Assault in Progress ,ASLT3,20080202,44.986713,-93.258074,0,3,43,168,2008,02,02,2
170,08-045861,No,Fight ,FORCE,20080217,44.981648,-93.273116,0,1,1,169,2008,02,17,2
171,08-050138,Yes,Domestic Abuse-In Progress ,DASLT5,20080221,45.015051,-93.31270400000001,0,2,38,170,2008,02,21,22
172,08-051509,No,Suspicious Person ,DISCON,20080223,44.981648,-93.273116,0,1,1,171,2008,02,23,2
173,08-082364,Yes,Domestic Abuse-In Progress ,OBSTRU,20080324,45.01324,-93.311428,0,2,38,172,2008,03,24,17
174,08-106511,No,Suspicious Person ,OBSTRU,20080416,44.944978000000006,-93.269628,0,4,8,173,2008,04,16,3
175,08-118926,No,Suspicious Person ,NARC,20080427,44.975335,-93.277636,0,1,1,174,2008,04,27,1
176,08-126905,No,Traffic Law Enforcement ,NARC,20080504,44.999677,-93.2802,0,2,9,175,2008,05,04,0
177,08-133859,Yes,Disturbance ,ROBPER,20080510,44.980065,-93.271883,0,1,1,176,2008,05,10,2
178,08-003643,No,Suspicious Vehicle ,AOA,20080104,44.925909000000004,-93.29690500000001,0,5,47,177,2008,01,04,10
179,08-019237,Yes,Unwanted Person ,OBSTRU,20080120,44.974295,-93.26611199999999,0,1,1,178,2008,01,20,3
180,08-035485,No,Suspicious Vehicle ,OBSTRU,20080205,44.999677,-93.2802,0,2,9,179,2008,02,05,22
181,08-045535,No,Traffic Law Enforcement ,NARC,20080216,45.013232,-93.306344,0,2,12,180,2008,02,16,21
182,08-053867,No,Suspicious Person ,OBSTRU,20080225,44.991328,-93.305715,0,2,31,181,2008,02,25,16
183,08-071994,Yes,Fight ,OBSTRU,20080314,44.963381,-93.242506,0,4,7,182,2008,03,14,12
184,08-074006,No,Miscellaneous ,FORCE,20080316,44.982469,-93.27195400000001,0,1,1,183,2008,03,16,3
185,08-081163,No,Suspicious Vehicle ,FLEE,20080323,45.00257,-93.31076800000001,0,2,31,184,2008,03,23,4
186,08-085693,Yes,Sound of Shots Fired ,NARC,20080327,44.996862,-93.291053,0,2,2,185,2008,03,27,21
187,08-130696,No,Fight ,RIOT,20080507,45.021353000000005,-93.234557,0,3,3,186,2008,05,07,16
188,08-136298,Yes,Unknown Trouble ,DASLT5,20080512,44.963322,-93.258187,0,4,5,187,2008,05,12,16
189,08-148956,Yes,Sound of Shots Fired ,WEAP,20080522,45.011025,-93.28800600000001,0,2,9,188,2008,05,22,21
190,08-000144,No,Suspicious Person ,OBSTRU,20080101,44.959744,-93.24701999999999,0,4,13,189,2008,01,01,1
191,08-002346,Yes,Theft ,BURGTL,20080103,44.98883,-93.29104,0,2,48,190,2008,01,03,3
192,08-016997,No,High Risk Warrant Entry ,NARC,20080117,44.968485,-93.267657,0,1,44,191,2008,01,17,20
193,08-032796,No,Suspicious Person ,OBSTRU,20080203,44.982137,-93.269013,0,1,1,192,2008,02,03,0
194,08-044382,Yes,Unwanted Person ,FORCE,20080215,45.005276,-93.263861,0,3,28,193,2008,02,15,19
195,08-047969,No,Traffic Law Enforcement ,OBSTRU,20080219,45.011441,-93.311431,0,2,12,194,2008,02,19,18
196,08-052469,No,Suspicious Person ,ASLT5,20080224,44.979295,-93.27023,0,1,1,195,2008,02,24,1
197,08-056530,No,Assist EMS Personnel ,CIC,20080228,44.936828000000006,-93.27791500000001,0,5,49,196,2008,02,28,5
198,08-061432,No,Suspicious Vehicle ,FLEEFT,20080304,45.012669,-93.263123,0,3,37,197,2008,03,04,0
199,08-080107,No,Suspicious Person ,DAMPRP,20080322,45.002320000000005,-93.246705,0,3,50,198,2008,03,22,2
200,08-109872,Yes,Person with a Weapon ,WEAP,20080418,44.977367,-93.27179699999999,0,1,1,199,2008,04,18,23
201,08-125523,No,Attempt Pick-Up ,FORCE,20080502,44.956438,-93.257514,0,4,4,200,2008,05,02,22
202,08-012325,Yes,Burglary Dwlng In Progress ,BURGD,20080112,44.960064,-93.236195,0,4,7,201,2008,01,12,20
203,08-021196,No,Traffic Law Enforcement ,OBSTRU,20080122,45.013131,-93.29369799999999,0,2,17,202,2008,01,22,15
204,08-030812,No,Attempt Pick-Up ,WT,20080201,45.003397,-93.303748,0,2,12,203,2008,02,01,10
205,08-034441,Yes,Fight ,DISCON,20080204,44.96706,-93.280839,0,1,18,204,2008,02,04,21
206,08-053384,No,Fight ,ASLT4,20080225,44.979626,-93.272499,0,1,1,205,2008,02,25,2
207,08-066703,No,Assault Report Only ,ASLT5,20080309,44.980833000000004,-93.27195999999999,0,1,1,206,2008,03,09,3
208,08-090780,No,Suspicious Vehicle ,NARC,20080401,44.948353999999995,-93.272225,0,4,40,207,2008,04,01,21
209,08-099010,No,Officer Needs Help ,FLEE,20080409,44.988613,-93.317204,0,2,31,208,2008,04,09,0
210,08-099010,No,Officer Needs Help ,FLEE,20080409,44.988613,-93.317204,0,2,31,209,2008,04,09,0
211,08-111107,Yes,Domestic Abuse-In Progress ,ASLT4,20080420,44.978061,-93.303252,0,2,29,210,2008,04,20,1
212,08-116949,Yes,Trespass in Boarded Dwell ,TRSPAS,20080425,44.947506,-93.27284499999999,0,4,8,211,2008,04,25,11
213,08-121009,No,Suspicious Person ,FLEEFT,20080429,44.957217,-93.24485200000001,0,4,13,212,2008,04,29,2
214,08-012559,Yes,Domestic Abuse-In Progress ,OBSTRU,20080112,44.986990000000006,-93.307013,0,2,2,213,2008,01,12,23
215,08-015086,No,Suspicious Person ,OBSTRU,20080115,45.010519,-93.30569799999999,0,2,12,214,2008,01,15,18
216,08-019576,Yes,Domestic Abuse-In Progress ,DASLT5,20080120,44.940432,-93.246087,0,4,10,215,2008,01,20,18
217,08-023876,No,Attempt Pick-Up ,OBSTRU,20080125,44.980447,-93.309598,0,2,29,216,2008,01,25,11
218,08-030417,No,Suspicious Vehicle ,LOITER,20080131,0.0,0.0,0,6,15,217,2008,01,31,22
219,08-038897,No,Disturbance ,OBSTRU,20080209,44.983815,-93.278399,0,1,51,218,2008,02,09,2
220,08-049455,No,Suspicious Vehicle ,FLEE,20080221,45.011433000000004,-93.307598,0,2,12,219,2008,02,21,9
221,08-051020,No,Traffic Law Enforcement ,WT,20080222,45.01493,-93.261493,0,3,37,220,2008,02,22,20
222,08-053867,No,Suspicious Person ,OBSTRU,20080225,44.991328,-93.305715,0,2,31,221,2008,02,25,16
223,08-054243,No,Suspicious Vehicle ,FLEEFT,20080225,44.996891,-93.254345,0,3,52,222,2008,02,25,22
224,08-059535,No,Disturbance ,DISCON,20080302,44.979626,-93.272499,0,1,1,223,2008,03,02,0
225,08-062935,No,Suspicious Person ,MISC,20080305,45.005355,-93.28799000000001,0,2,9,224,2008,03,05,17
226,08-010291,No,Motor Vehicle Chase ,FLEE,20080110,44.943185,-93.265782,0,4,8,225,2008,01,10,22
227,08-024156,No,Disturbance ,DISCON,20080125,44.979702,-93.268029,0,1,1,226,2008,01,25,18
228,08-028467,No,Suspicious Vehicle ,FLEE,20080129,44.996367,-93.279935,0,2,2,227,2008,01,29,21
229,08-053384,No,Fight ,ASLT4,20080225,44.979626,-93.272499,0,1,1,228,2008,02,25,2
230,08-065889,Yes,Suspicious Person ,WEAP,20080308,44.94795,-93.242322,0,4,10,229,2008,03,08,11
231,08-071994,Yes,Fight ,OBSTRU,20080314,44.963381,-93.242506,0,4,7,230,2008,03,14,12
232,08-081163,No,Suspicious Vehicle ,FLEE,20080323,45.00257,-93.31076800000001,0,2,31,231,2008,03,23,4
233,08-086018,No,ShotSpotter Activation ,SQUADA,20080328,44.999452000000005,-93.30129000000001,0,2,31,232,2008,03,28,5
234,08-095957,Yes,Domestic Abuse-In Progress ,DASLT5,20080406,45.000664,-93.301893,0,2,12,233,2008,04,06,1
235,08-099010,No,Officer Needs Help ,FLEE,20080409,44.988613,-93.317204,0,2,31,234,2008,04,09,0
