subject_id,race,sex,age,has_injury,role,role_number,resistance
92,Black,Male,25,,A,1,Verbal Non-Compliance
93,White,Male,28,No,A,1,Verbal Non-Compliance
94,Black,Female,28,Yes,A,1,Tensed
95,Black,Male,24,No,A,1,Commission of Crime
96,White,Male,24,,A,1,Unspecified
97,Black,Male,40,No,A,1,Commission of Crime
98,Black,Male,24,Yes,A,1,Fled in Vehicle
99,Black,Male,13,,A,2,Unspecified
100,Black,Male,28,Yes,A,1,Fled in Vehicle
101,White,Female,55,Yes,S,1,Verbal Non-Compliance
102,White,Male,45,,A,1,Tensed
103,Black,Male,55,,S,1,Tensed
104,Black,Male,66,Yes,A,1,Assaulted Officer
105,Other / Mixed Race,Female,16,,A,1,Fled on Foot
106,Black,Male,23,No,A,1,Fled in Vehicle
107,Native American,Male,23,No,A,1,Tensed
108,Black,Male,27,No,A,1,Verbal Non-Compliance
109,Asian,Male,22,Yes,A,2,Fled on Foot
110,White,Male,34,,A,1,Tensed
111,Black,Male,30,No,A,1,Fled on Foot
112,Black,Male,36,No,A,1,Tensed
113,White,Male,32,No,A,1,Assaulted Officer
114,White,Male,21,No,A,1,Commission of Crime
115,Black,Male,32,Yes,A,1,Tensed
116,Black,Female,18,Yes,A,3,Fled on Foot
117,Black,Male,35,No,A,1,Commission of Crime
118,Unknown,Male,16,Yes,A,1,Tensed
119,Native American,Male,23,No,A,1,Tensed
120,Black,Male,21,Yes,A,1,Assaulted Officer
121,White,Female,24,,A,2,Commission of Crime
122,White,Male,40,No,A,1,Tensed
123,White,Male,41,Yes,A,1,Commission of Crime
124,White,Male,16,Yes,OT,1,Unspecified
125,Black,Female,18,,S,1,Tensed
126,Black,Male,43,Yes,A,1,Tensed
127,Black,Male,28,No,A,2,Commission of Crime
128,White,Male,25,,A,1,Verbal Non-Compliance
129,Native American,Male,44,No,A,1,Tensed
130,White,Male,22,Yes,A,1,Fled in Vehicle
131,Black,Male,34,No,A,1,Tensed
132,Black,Male,15,No,A,1,Fled on Foot
133,Black,Male,18,No,A,1,Tensed
134,Black,Male,36,No,A,1,Tensed
135,Black,Male,27,,A,1,Commission of Crime
136,Black,Male,24,,A,1,Commission of Crime
137,Black,Male,17,No,A,1,Verbal Non-Compliance
138,Native American,Male,36,No,A,1,Commission of Crime
139,Black,Male,26,,A,2,Verbal Non-Compliance
140,Black,Male,19,Yes,A,1,Fled on Foot
141,Black,Female,15,No,A,1,Commission of Crime
142,Black,Male,43,No,A,1,Fled in Vehicle
143,Black,Male,23,Yes,A,1,Tensed
144,Black,Male,13,,S,1,Tensed
145,Black,Male,27,Yes,A,1,Verbal Non-Compliance
146,Black,Male,37,,A,2,Fled on Foot
147,White,Female,26,No,A,1,Tensed
148,Black,Male,28,Yes,A,1,Fled in Vehicle
149,White,Male,23,No,A,1,Tensed
150,Black,Male,27,,A,1,Commission of Crime
151,White,Male,37,No,A,1,Tensed
152,Black,Male,37,No,A,2,Tensed
153,White,Male,25,Yes,A,3,Assaulted Officer
154,Black,Male,45,No,A,1,Verbal Non-Compliance
155,Black,Male,34,No,A,1,Verbal Non-Compliance
156,White,Male,22,Yes,A,1,Fled in Vehicle
157,White,Male,28,,A,1,Tensed
158,White,Male,38,No,A,1,Verbal Non-Compliance
159,White,Male,47,Yes,A,1,Assaulted Officer
160,Black,Male,17,Yes,A,1,Commission of Crime
161,White,Male,21,Yes,A,1,Tensed
162,Black,Male,36,,A,1,Tensed
163,White,Male,37,,A,1,Tensed
164,White,Male,19,No,A,1,Fled on Foot
165,Black,Male,66,Yes,A,1,Assaulted Officer
166,White,Male,27,No,A,1,Commission of Crime
167,Black,Male,34,No,A,1,Verbal Non-Compliance
168,White,Male,27,,A,1,Tensed
169,Black,Male,44,No,A,1,Tensed
170,Black,Male,21,,S,1,Unspecified
171,Black,Male,36,No,A,1,Tensed
172,Black,Male,27,,A,1,Commission of Crime
173,Black,Male,23,Yes,A,2,Unspecified
174,Black,Male,43,Yes,A,1,Fled on Foot
175,Black,Male,25,,A,1,Fled on Foot
176,Black,Male,23,No,A,1,Commission of Crime
177,Black,Male,28,Yes,A,1,Commission of Crime
178,White,Male,31,No,OT,1,Unspecified
179,Black,Male,40,No,A,1,Commission of Crime
180,Black,Female,42,No,A,2,Assaulted Officer
181,Black,Male,43,Yes,A,1,Tensed
182,Black,Male,21,Yes,A,1,Unspecified
183,White,Male,32,No,A,1,Assaulted Officer
184,White,Male,21,,OT,1,Verbal Non-Compliance
185,Unknown,Male,15,Yes,A,1,Fled in Vehicle
186,Black,Male,23,,A,3,Verbal Non-Compliance
187,Black,Male,14,,A,4,Commission of Crime
188,Black,Female,40,No,A,1,Verbal Non-Compliance
189,Black,Male,18,No,A,1,Fled on Foot
190,White,Male,27,No,A,1,Commission of Crime
191,Asian,Male,16,No,A,2,Fled on Foot
192,Black,Male,46,Yes,A,1,Fled on Foot
193,Black,Male,23,No,A,1,Commission of Crime
194,White,Female,41,Yes,OT,1,Tensed
195,White,Male,19,,A,1,Tensed
196,White,Male,21,No,A,1,Tensed
197,Native American,Male,50,Yes,OT,1,Tensed
198,Black,Male,25,No,A,1,Fled on Foot
199,White,Male,21,No,A,1,Unspecified
200,Black,Female,20,,A,1,Unspecified
201,Native American,Male,20,No,OT,1,Tensed
202,Black,Male,41,Yes,A,1,Fled on Foot
203,Black,Male,21,No,A,1,Verbal Non-Compliance
204,Black,Male,13,,A,2,Unspecified
205,Black,Male,20,No,A,1,Commission of Crime
206,Black,Male,28,Yes,A,1,Assaulted Officer
207,Black,Male,20,Yes,A,1,Fled on Foot
208,Black,Male,19,No,A,3,Verbal Non-Compliance
209,Black,Male,66,Yes,A,1,Assaulted Officer
210,Black,Male,66,Yes,A,1,Assaulted Officer
211,Native American,Male,42,Yes,A,1,Assaulted Officer
212,Black,Male,45,Yes,A,1,Commission of Crime
213,Black,Male,22,,A,1,Fled on Foot
214,Unknown,Male,16,Yes,A,1,Tensed
215,Black,Male,24,No,A,1,Fled on Foot
216,Native American,Female,45,Yes,A,1,Tensed
217,Black,Female,20,,A,1,Commission of Crime
218,White,Male,40,No,A,1,Tensed
219,White,Male,24,No,A,1,Commission of Crime
220,Black,Male,33,No,A,1,Fled in Vehicle
221,Unknown,Unknown,51,,A,2,Verbal Non-Compliance
222,Black,Male,21,Yes,A,1,Unspecified
223,Black,Male,33,No,A,1,Fled on Foot
224,Black,Male,24,,A,1,Commission of Crime
225,White,Male,38,,A,1,Tensed
226,White,Male,22,Yes,A,1,Fled in Vehicle
227,Black,Male,40,No,A,1,Commission of Crime
228,Black,Male,24,Yes,A,1,Fled in Vehicle
229,Black,Male,28,Yes,A,1,Assaulted Officer
230,Black,Male,19,No,A,1,Fled on Foot
231,White,Male,32,No,A,1,Assaulted Officer
232,Unknown,Male,15,Yes,A,1,Fled in Vehicle
233,Black,Male,17,Yes,A,1,Commission of Crime
234,Black,Male,36,Yes,A,1,Fled on Foot
235,Black,Male,66,Yes,A,1,Assaulted Officer
236,Black,Male,16,No,A,1,Fled on Foot
237,White,Male,23,No,A,1,Verbal Non-Compliance
238,Black,Male,45,No,A,1,Verbal Non-Compliance
239,Black,Male,26,,A,1,Tensed
240,White,Male,42,No,A,1,Unspecified
241,Black,Male,27,No,A,1,Verbal Non-Compliance
242,Black,Male,30,No,A,1,Fled on Foot
243,White,Male,22,,A,2,Commission of Crime
244,White,Male,30,,A,1,Verbal Non-Compliance
245,Black,Male,21,Yes,A,1,Unspecified
246,Black,Male,23,No,A,1,Verbal Non-Compliance
247,Black,Female,19,,OT,1,Tensed
248,Black,Male,21,,A,1,Tensed
249,White,Male,21,Yes,A,1,Tensed
250,Black,Male,29,No,A,2,Tensed
251,White,Male,36,Yes,V,1,Tensed
252,Black,Male,17,,A,1,Verbal Non-Compliance
253,Black,Male,21,,S,2,Unspecified
254,White,Male,38,No,A,1,Verbal Non-Compliance
255,Black,Male,28,No,A,2,Commission of Crime
256,Black,Male,17,Yes,A,2,Fled on Foot
257,Black,Male,17,No,OT,1,Tensed
258,Black,Male,18,No,A,1,Fled on Foot
259,Black,Male,21,No,A,1,Commission of Crime
260,Black,Male,31,,A,1,Fled on Foot
261,Native American,Male,36,,A,1,Commission of Crime
262,White,Male,44,Yes,A,1,Fled in Vehicle
263,White,Male,25,No,A,2,Verbal Non-Compliance
264,White,Male,36,Yes,A,1,Tensed
265,Native American,Male,33,Yes,V,1,Tensed
266,Black,Male,34,No,A,1,Commission of Crime
267,White,Male,37,No,A,1,Tensed
268,White,Male,28,No,A,1,Verbal Non-Compliance
269,Black,Male,27,,A,1,Verbal Non-Compliance
270,White,Male,24,,A,1,Tensed
271,White,Male,22,No,A,1,Commission of Crime
272,Black,Female,29,No,A,1,Tensed
273,White,Male,25,No,A,1,Commission of Crime
274,Black,Male,27,,A,1,Fled on Foot
275,White,Male,22,Yes,A,1,Fled in Vehicle
276,Black,Female,46,,A,1,Verbal Non-Compliance
277,Black,Male,34,No,A,1,Tensed
278,Black,Male,40,No,A,1,Commission of Crime
279,White,Male,23,,A,1,Tensed
280,Black,Male,41,,A,1,Tensed
281,Black,Male,20,No,A,1,Commission of Crime
282,White,Male,33,,A,1,Fled on Foot
283,Native American,Female,23,,A,1,Fled in Vehicle
284,Black,Female,20,,S,1,Unspecified
285,Black,Male,16,Yes,A,2,Fled on Foot
286,Black,Male,16,No,A,2,Fled on Foot
287,Black,Male,27,No,A,1,Tensed
288,Black,Male,32,No,A,1,Tensed
289,White,Female,30,,A,1,Verbal Non-Compliance
290,Black,Male,23,No,A,1,Verbal Non-Compliance
291,Black,Male,21,,A,1,Fled on Foot
292,Black,Male,19,Yes,A,1,Fled on Foot
293,White,Male,45,,A,1,Tensed
294,Black,Male,66,Yes,A,1,Assaulted Officer
295,Black,Female,30,No,A,1,Tensed
296,Black,Male,30,Yes,A,1,Tensed
297,Black,Male,24,Yes,A,1,Commission of Crime
298,Asian,Male,16,No,A,2,Fled on Foot
299,Black,Male,48,No,A,1,Commission of Crime
300,White,Male,35,Yes,V,1,Tensed
301,Black,Male,24,Yes,A,1,Fled in Vehicle
302,Asian,Male,22,Yes,A,2,Fled on Foot
303,White,Male,38,No,A,1,Verbal Non-Compliance
304,Black,Male,38,,OT,1,Fled in Vehicle
305,Black,Male,25,No,A,1,Fled on Foot
306,Black,Male,25,,A,1,Tensed
307,Black,Male,23,,A,1,Verbal Non-Compliance
308,Black,Female,18,Yes,A,3,Fled on Foot
309,Other / Mixed Race,Male,29,Yes,A,1,Tensed
310,Black,Male,29,No,A,1,Tensed
311,Native American,Male,23,No,A,1,Tensed
312,Black,Female,42,No,A,1,Unspecified
313,Black,Male,19,Yes,A,1,Commission of Crime
314,Black,Male,34,No,A,1,Tensed
315,White,Male,50,No,OT,1,Verbal Non-Compliance
316,Black,Male,15,,A,1,Tensed
317,Native American,Male,21,No,A,1,Commission of Crime
318,Black,Male,44,No,A,1,Commission of Crime
319,Asian,Male,14,No,A,3,Fled on Foot
320,White,Male,18,No,A,1,Tensed
321,Black,Male,40,No,A,1,Commission of Crime
322,Black,Male,21,Yes,A,1,Commission of Crime
323,Black,Female,17,,A,3,Commission of Crime
324,Black,Female,42,No,A,1,Unspecified
325,Black,Male,39,No,A,1,Verbal Non-Compliance
326,Black,Male,36,No,A,1,Tensed
327,Black,Male,42,,A,1,Tensed
328,Black,Male,33,No,A,1,Fled on Foot
329,Black,Female,14,Yes,V,1,Unspecified
330,White,Male,31,No,A,1,Fled on Foot
331,Black,Female,19,,A,1,Tensed
332,Black,Female,17,,A,3,Commission of Crime
333,Black,Male,32,Yes,A,1,Assaulted Officer
334,White,Male,41,Yes,A,1,Commission of Crime
335,Black,Male,33,No,A,1,Tensed
336,Black,Male,23,,A,1,Fled on Foot
337,Black,Male,22,Yes,A,1,Unspecified
338,White,Male,38,,A,1,Tensed
339,White,Male,19,No,A,1,Fled on Foot
340,Native American,Female,46,,A,2,Verbal Non-Compliance
341,Black,Male,45,No,W,1,Unspecified
342,Native American,Male,37,No,A,1,Fled on Foot
343,Native American,Male,28,No,S,1,Tensed
344,Black,Male,18,Yes,A,1,Fled in Vehicle
345,White,Male,22,Yes,A,1,Fled in Vehicle
346,Black,Male,27,No,A,1,Verbal Non-Compliance
347,Black,Male,23,No,A,1,Commission of Crime
348,White,Male,46,No,OT,1,Tensed
349,Black,Male,28,No,A,1,Tensed
350,Black,Male,33,No,A,1,Fled in Vehicle
351,Black,Male,33,No,A,1,Commission of Crime
352,Black,Male,22,No,A,1,Fled on Foot
353,Black,Female,20,,OT,2,Tensed
354,Black,Male,29,No,A,1,Commission of Crime
355,Black,Male,42,No,A,1,Tensed
356,Black,Male,30,No,A,1,Fled in Vehicle
357,Black,Male,44,No,A,1,Verbal Non-Compliance
358,Asian,Male,16,Yes,A,1,Fled on Foot
359,Black,Male,21,Yes,A,1,Unspecified
360,Black,Male,28,No,A,2,Commission of Crime
361,Black,Male,18,No,OT,1,Tensed
362,Black,Male,38,No,A,1,Fled on Foot
363,White,Male,33,No,S,1,Tensed
364,White,Male,29,No,A,1,Assaulted Officer
365,Black,Female,18,Yes,A,3,Fled on Foot
366,Black,Male,18,Yes,A,1,Fled on Foot
367,Asian,Male,14,No,A,3,Fled on Foot
368,Black,Male,30,No,A,1,Fled in Vehicle
369,Native American,Male,23,No,A,1,Tensed
370,Black,Male,16,,A,1,Commission of Crime
371,Black,Male,18,No,A,1,Tensed
372,Black,Male,26,Yes,A,1,Commission of Crime
373,Black,Male,24,No,A,1,Commission of Crime
374,Black,Male,21,No,A,1,Commission of Crime
375,Unknown,Male,15,Yes,A,1,Fled in Vehicle
376,Black,Male,35,No,A,1,Tensed
377,Black,Male,41,Yes,A,1,Tensed
378,Native American,Male,19,No,A,1,Commission of Crime
379,White,Male,31,No,OT,1,Unspecified
380,White,Male,44,Yes,A,1,Fled in Vehicle
381,Black,Male,43,No,A,2,Verbal Non-Compliance
382,Native American,Female,39,,A,1,Assaulted Officer
383,Black,Male,34,No,A,1,Tensed
384,Native American,Male,23,No,A,1,Tensed
385,Native American,Male,33,Yes,V,1,Tensed
386,Black,Male,16,Yes,A,1,Commission of Crime
387,White,Male,24,No,A,1,Tensed
388,Black,Male,32,,A,1,Fled on Foot
389,Black,Male,29,No,A,1,Verbal Non-Compliance
390,Black,Female,20,,S,3,Unspecified
391,White,Male,44,Yes,A,1,Fled in Vehicle
392,White,Male,28,,A,1,Tensed
393,Black,Male,16,No,A,1,Fled on Foot
394,White,Male,25,,S,1,Assaulted Officer
395,Black,Male,35,No,A,1,Verbal Non-Compliance
396,White,Female,31,Yes,A,2,Verbal Non-Compliance
397,Black,Male,29,No,A,1,Verbal Non-Compliance
398,Black,Male,17,Yes,A,2,Fled on Foot
399,Other / Mixed Race,Male,23,Yes,A,1,Unspecified
400,Black,Male,38,No,A,1,Fled on Foot
401,White,Male,30,No,OT,1,Fled on Foot
402,Black,Male,29,No,OT,1,Tensed
403,Asian,Male,16,No,A,2,Fled on Foot
404,Other / Mixed Race,Male,49,No,S,1,Verbal Non-Compliance
405,Native American,Male,23,No,A,1,Tensed
406,Black,Male,46,Yes,A,1,Tensed
407,Black,Male,20,No,A,1,Fled on Foot
408,Black,Male,23,No,A,1,Verbal Non-Compliance
409,Black,Male,18,Yes,A,2,Commission of Crime
410,Black,Male,20,No,A,1,Verbal Non-Compliance
411,Black,Male,42,Yes,V,1,Tensed
412,Black,Male,22,Yes,A,1,Unspecified
413,Other / Mixed Race,Male,29,Yes,A,1,Verbal Non-Compliance
414,Black,Male,18,No,A,1,Commission of Crime
415,Black,Male,18,Yes,A,1,Fled in Vehicle
416,White,Male,29,No,OT,1,Verbal Non-Compliance
417,White,Male,35,Yes,A,1,Fled on Foot
418,Other / Mixed Race,Male,45,Yes,A,1,Tensed
419,Black,Male,30,No,A,1,Fled on Foot
420,Black,Male,36,No,A,1,Tensed
421,Black,Male,38,No,A,1,Fled on Foot
422,Black,Male,36,Yes,A,1,Fled on Foot
423,Unknown,Male,15,Yes,A,1,Fled in Vehicle
424,Black,Male,36,No,A,2,Fled on Foot
425,Black,Male,26,Yes,A,1,Fled on Foot
426,White,Male,33,No,A,1,Tensed
427,Other / Mixed Race,Male,15,No,A,1,Fled on Foot
428,Black,Male,23,No,A,1,Fled in Vehicle
429,Black,Male,50,Yes,A,1,Assaulted Officer
430,Black,Male,27,No,A,1,Verbal Non-Compliance
431,White,Male,26,Yes,A,1,Fled in Vehicle
432,White,Male,31,No,A,1,Fled on Foot
433,Black,Male,20,Yes,A,1,Fled on Foot
434,Black,Male,18,,S,1,Commission of Crime
435,Black,Male,35,Yes,A,2,Unspecified
436,White,Male,17,No,A,1,Tensed
437,White,Female,21,No,A,1,Unspecified
438,Black,Male,18,,A,1,Assaulted Officer
439,White,Male,27,No,A,1,Commission of Crime
440,Black,Male,43,No,A,1,Fled in Vehicle
441,Black,Male,23,No,A,1,Fled in Vehicle
442,Black,Male,44,No,A,1,Verbal Non-Compliance
443,Black,Male,46,Yes,A,1,Tensed
444,White,Male,42,No,A,1,Unspecified
445,White,Male,35,Yes,A,1,Fled on Foot
446,White,Male,46,No,OT,1,Tensed
447,Black,Male,28,No,A,2,Commission of Crime
448,Native American,Male,44,No,A,1,Tensed
449,Black,Male,28,No,A,1,Tensed
450,Black,Male,19,Yes,A,1,Fled on Foot
451,Black,Male,23,No,A,1,Fled in Vehicle
452,Black,Male,40,No,A,1,Commission of Crime
453,Black,Male,24,Yes,A,1,Fled in Vehicle
454,Black,Male,53,,A,1,Verbal Non-Compliance
455,Asian,Male,22,Yes,A,2,Fled on Foot
456,Black,Male,36,No,A,1,Tensed
457,Black,Male,21,No,A,1,Fled on Foot
458,Native American,Male,41,No,A,1,Unspecified
459,White,Male,19,No,A,1,Fled on Foot
460,White,Male,22,No,A,1,Commission of Crime
461,Black,Female,17,No,A,1,Commission of Crime
462,Black,Male,21,No,A,1,Fled in Vehicle
463,Black,Male,19,Yes,A,1,Fled on Foot
464,Black,Male,26,No,A,2,Commission of Crime
465,White,Male,33,No,A,1,Tensed
466,White,Male,39,,S,1,Commission of Crime
467,White,Male,21,,A,1,Fled on Foot
468,Black,Male,32,No,A,1,Fled in Vehicle
469,Other / Mixed Race,Male,35,No,A,1,Tensed
470,Black,Male,30,Yes,A,1,Assaulted Officer
471,Black,Female,26,No,A,1,Fled on Foot
472,White,Male,28,No,A,1,Unspecified
473,Native American,Male,55,No,OT,1,Tensed
474,White,Female,23,No,OT,1,Verbal Non-Compliance
475,Other / Mixed Race,Female,32,Yes,OT,1,Verbal Non-Compliance
476,White,Male,31,No,OT,1,Unspecified
477,Black,Male,34,No,A,1,Verbal Non-Compliance
478,Black,Male,19,Yes,A,1,Unspecified
479,White,Male,24,,A,1,Tensed
480,White,Male,28,Yes,OT,1,Fled in Vehicle
481,White,Male,21,,A,1,Verbal Non-Compliance
482,Black,Male,40,No,A,1,Fled on Foot
483,White,Male,22,No,A,2,Commission of Crime
484,White,Male,21,Yes,A,1,Verbal Non-Compliance
485,Other / Mixed Race,Male,25,No,O,1,Tensed
486,Black,Male,29,Yes,A,1,Commission of Crime
487,Asian,Male,14,No,A,3,Fled on Foot
488,White,Male,22,,OT,1,Unspecified
489,Black,Male,46,Yes,A,1,Tensed
490,Black,Male,20,No,A,1,Commission of Crime
491,Black,Female,15,No,A,2,Tensed
492,Black,Female,25,,A,2,Commission of Crime
493,White,Male,17,No,A,1,Tensed
494,Black,Male,30,No,A,1,Commission of Crime
495,White,Male,19,No,A,1,Commission of Crime
496,Native American,Male,22,No,A,1,Unspecified
497,Black,Male,17,No,A,1,Fled on Foot
498,Black,Male,20,No,A,1,Fled on Foot
499,Black,Male,18,Yes,A,1,Fled in Vehicle
500,White,Male,27,,A,1,Tensed
501,Black,Male,40,No,A,1,Commission of Crime
502,Black,Male,19,No,A,2,Fled on Foot
503,Black,Male,18,No,OT,1,Tensed
504,Black,Male,36,No,A,1,Tensed
505,Black,Male,28,Yes,A,1,Assaulted Officer
506,Black,Male,18,Yes,A,2,Commission of Crime
507,Native American,Male,50,Yes,OT,1,Tensed
508,White,Male,34,,A,1,Tensed
509,White,Male,21,No,A,1,Unspecified
510,Black,Male,17,Yes,A,1,Commission of Crime
511,Black,Male,23,,A,1,Fled on Foot
512,White,Male,24,Yes,A,1,Fled on Foot
513,White,Male,25,Yes,A,3,Assaulted Officer
514,Native American,Male,22,No,A,1,Unspecified
515,Black,Male,17,No,A,1,Fled on Foot
516,Native American,Female,18,No,A,1,Commission of Crime
517,Other / Mixed Race,Male,23,Yes,A,2,Verbal Non-Compliance
518,White,Male,22,,A,1,Commission of Crime
519,Black,Male,36,Yes,A,2,Assaulted Officer
520,White,Male,23,Yes,A,1,Fled on Foot
521,Black,Male,23,Yes,A,1,Tensed
522,White,Male,18,No,A,1,Fled on Foot
523,Black,Male,22,No,A,1,Fled on Foot
524,Black,Male,38,No,A,2,Commission of Crime
525,Black,Male,19,No,A,1,Fled on Foot
526,White,Male,32,No,A,1,Assaulted Officer
527,White,Male,51,,OT,1,Tensed
528,Unknown,Unknown,37,Yes,A,1,Fled on Foot
529,Other / Mixed Race,Male,18,No,A,1,Tensed
530,Black,Female,35,,OT,1,Unspecified
531,Black,Male,41,,A,1,Tensed
532,Black,Male,14,No,A,2,Fled in Vehicle
533,Black,Male,29,No,A,1,Tensed
534,Other / Mixed Race,Male,45,Yes,A,1,Tensed
535,White,Male,26,Yes,A,1,Fled in Vehicle
536,Black,Male,46,Yes,A,1,Tensed
537,White,Male,26,Yes,A,1,Tensed
538,Black,Male,20,No,A,1,Fled on Foot
539,Black,Male,38,,A,1,Tensed
540,Black,Male,29,No,A,1,Verbal Non-Compliance
541,Black,Male,21,No,A,1,Commission of Crime
542,Black,Male,24,No,A,1,Fled on Foot
543,Black,Male,45,No,V,2,Fled on Foot
544,Black,Male,52,Yes,A,3,Fled on Foot
545,Other / Mixed Race,Male,15,No,A,1,Fled on Foot
546,Native American,Male,18,No,A,1,Fled on Foot
547,White,Male,23,Yes,A,1,Tensed
548,Black,Male,32,Yes,A,1,Assaulted Officer
549,White,Male,35,Yes,A,1,Fled on Foot
550,White,Male,26,Yes,A,1,Fled in Vehicle
551,Black,Male,36,No,A,1,Tensed
552,Asian,Male,19,Yes,A,1,Commission of Crime
553,Unknown,Male,26,No,A,1,Commission of Crime
554,Native American,Female,46,,A,2,Verbal Non-Compliance
555,Black,Male,38,No,A,1,Fled on Foot
556,White,Male,23,Yes,A,1,Tensed
557,White,Male,54,No,A,1,Tensed
558,Other / Mixed Race,Male,45,Yes,A,1,Tensed
559,Black,Male,16,No,A,1,Fled on Foot
560,Native American,Female,30,No,A,1,Tensed
561,Black,Male,40,No,A,1,Fled on Foot
562,Black,Female,25,,A,2,Commission of Crime
563,Black,Male,23,,A,1,Verbal Non-Compliance
564,White,Male,23,,A,1,Commission of Crime
565,Other / Mixed Race,Male,25,No,O,1,Tensed
566,Other / Mixed Race,Male,18,No,A,1,Tensed
567,Other / Mixed Race,Male,22,Yes,A,1,Commission of Crime
568,Black,Male,24,No,A,1,Fled on Foot
569,Black,Male,19,No,OT,1,Verbal Non-Compliance
570,Other / Mixed Race,Male,29,No,A,1,Tensed
571,Black,Male,23,Yes,A,2,Tensed
572,Black,Male,36,Yes,A,1,Fled in Vehicle
